date,imports
2002-01-01,NA
2002-04-01,0.002
2002-07-01,NA
2002-10-01,NA
2003-01-01,0.019
2003-04-01,NA
2003-07-01,NA
2003-10-01,0
2004-01-01,6.361
2004-04-01,5.486
2004-07-01,6.131
2004-10-01,5.01
2005-01-01,7.025
2005-04-01,6.141
2005-07-01,5.882
2005-10-01,6.604
2006-01-01,14.314
2006-04-01,16.968
2006-07-01,21.547
2006-10-01,17.067
2007-01-01,14.128
2007-04-01,17.251
2007-07-01,17.876
2007-10-01,13.18
2008-01-01,19.107
2008-04-01,26.264
2008-07-01,37.883
2008-10-01,54.669
2009-01-01,50.935
2009-04-01,41.382
2009-07-01,57.478
2009-10-01,84.034
2010-01-01,56.1
2010-04-01,63.302
2010-07-01,62.833
2010-10-01,62.7633
2011-01-01,106.597
2011-04-01,107.49
2011-07-01,109.821
2011-10-01,128.912
2012-01-01,101.808
2012-04-01,102.215
2012-07-01,119.767
2012-10-01,139.382
2013-01-01,94.06
2013-04-01,102.803
2013-07-01,114.899
2013-10-01,119.072
2014-01-01,90.595
2014-04-01,123.768
2014-07-01,140.148
2014-10-01,142.694
2015-01-01,173.235
2015-04-01,98.041
2015-07-01,108.648
2015-10-01,148.374
2016-01-01,99.508
2016-04-01,114.787
2016-07-01,133.369
2016-10-01,134.238
2017-01-01,105.829
2017-04-01,114.109
2017-07-01,112.923
2017-10-01,128.89
2018-01-01,77.842
2018-04-01,78.608
2018-07-01,108.141
2018-10-01,131.428
2019-01-01,104.299
2019-04-01,100.922
2019-07-01,140.684
2019-10-01,146.644
2020-01-01,130.443
2020-04-01,112.154
2020-07-01,176.481
2020-10-01,170.683
2021-01-01,146.507
2021-04-01,163.797
2021-07-01,191.453
2021-10-01,260.341
2022-01-01,203.321
2022-04-01,225.642
2022-07-01,246.012
2022-10-01,202.817
2023-01-01,228.94
2023-04-01,206.259
2023-07-01,230.82
2023-10-01,222.679
2024-01-01,188.847
2024-04-01,215.672
2024-07-01,244.118
2024-10-01,239.538
2025-01-01,214.433
2025-04-01,236.029
2025-07-01,254.864
2025-10-01,259.9
2026-01-01,236.893
2026-04-01,297.194
