Response,Horizon,Impulse,10%,16%,50%,84%,90%
Gov Exp,1,Gov Exp,0.022779864653427483,0.02328201240374749,0.025088173668382556,0.027071936223490186,0.027657215331937983
Gov Exp,1,Imports,0,0,0,0,0
Gov Exp,1,N.O. GDP,0,0,0,0,0
Gov Exp,1,CPI,0,0,0,0,0
Gov Exp,1,Credit,0,0,0,0,0
Gov Exp,2,Gov Exp,0.022355869026385405,0.02340936117767265,0.027341555841710788,0.03160083885421423,0.033104658808012555
Gov Exp,2,Imports,-0.003237353995758774,-0.0025271387830396595,-3.940111879581759e-5,0.002451105825031324,0.0031671658140884585
Gov Exp,2,N.O. GDP,-0.0012815895844646094,-6.976070939913619e-4,0.001319876721945309,0.003339925816189473,0.003953830088663464
Gov Exp,2,CPI,-0.0034119277649547475,-0.002621648569635887,2.13770998027876e-4,0.002911943619806016,0.0038232899171127114
Gov Exp,2,Credit,-0.0038143680346511906,-0.0033085598380160693,-0.0015097981975271996,3.693477912015452e-4,0.00086762265018545785
Gov Exp,3,Gov Exp,0.018949392749625187,0.020165551704184388,0.02534655571529321,0.031457222447221794,0.03360818095239428
Gov Exp,3,Imports,-0.003813684176035469,-0.002619234997610637,0.001271613682927109,0.005248094467948644,0.006437127981890913
Gov Exp,3,N.O. GDP,-0.0018440803299094191,-7.234819465150326e-4,0.002805655442898314,0.006276951654184267,0.007378203728662297
Gov Exp,3,CPI,-0.0050348366028642975,-0.0036945532094000665,7.230728179704356e-4,0.004871511276762528,0.006263440327321474
Gov Exp,3,Credit,-0.006027127314923973,-0.005086340796900769,-0.0019562315734098943,0.0014066458441940558,0.0022522050217590223
Gov Exp,4,Gov Exp,0.015299739692566369,0.016782052784732188,0.02273604438006848,0.030262206252746837,0.033060809465981014
Gov Exp,4,Imports,-0.0028405296975212444,-0.0014230979060823046,0.0033761112567260256,0.00822269850261311,0.009714053183544787
Gov Exp,4,N.O. GDP,-0.0016385471437095301,-2.0299876141811256e-4,0.0044503506377557,0.008904052631038193,0.010241969783015108
Gov Exp,4,CPI,-0.005514468789058348,-0.0037781976717173194,0.0014507682222316578,0.006593760545637493,0.008162625145209
Gov Exp,4,Credit,-0.006660443945100348,-0.005555304437838139,-0.0015597015770846291,0.002768360032925526,0.003968397071574067
Gov Exp,5,Gov Exp,0.012105697737636518,0.013685887686659268,0.020282143547939432,0.029323036444710168,0.03278318367872138
Gov Exp,5,Imports,-0.0013536550243270504,2.905333916944433e-4,0.005763757724783433,0.011341451385551898,0.013211338871886476
Gov Exp,5,N.O. GDP,-0.0012309443355103843,5.291123326130326e-4,0.0059495554549097475,0.011132896329376495,0.012798530089922409
Gov Exp,5,CPI,-0.005467977753567128,-0.0035960925946522176,0.00230269406381816,0.008088385332497108,0.0097441977493311
Gov Exp,5,Credit,-0.006435716489418583,-0.005083130402693531,-7.07840500009344e-4,0.004226315709885474,0.005688085676264172
Gov Exp,6,Gov Exp,0.009416930466648371,0.011154700196265523,0.01842584752425266,0.028942728173643958,0.033120925768059604
Gov Exp,6,Imports,2.4060237899872078e-4,0.00199280795867338,0.008196137716615436,0.01467631913790373,0.016716489280532904
Gov Exp,6,N.O. GDP,-9.292325220614208e-4,0.0010531613365538529,0.00709159131897001,0.013001893383936664,0.014854043236892663
Gov Exp,6,CPI,-0.005637687611889385,-0.0033180783337562894,0.003411170475231453,0.009655008483294009,0.011278936366283738
Gov Exp,6,Credit,-0.005960090917759378,-0.004463306587695446,2.964111765910748e-4,0.00543213471197908,0.0071510200692945815
Gov Exp,7,Gov Exp,0.00737067987697417,0.00924573786716645,0.017029293433140802,0.02915227907026502,0.033891985763184626
Gov Exp,7,Imports,0.001787456883254311,0.0038236058239946528,0.01047123021681054,0.017779468520893252,0.020103349700126765
Gov Exp,7,N.O. GDP,-0.0010005742298237245,0.0012232962030575057,0.007749598379759472,0.014303434780125503,0.01645210669143088
Gov Exp,7,CPI,-0.0058623110441920956,-0.003019272698638304,0.004322677634881322,0.01088841009287398,0.012756355412497325
Gov Exp,7,Credit,-0.005391523251685486,-0.0039290837091747605,0.0010728922962493584,0.006509701830269086,0.008409010508408208
Gov Exp,8,Gov Exp,0.005469728044755358,0.007597114852689706,0.016061292443950027,0.029781225074955987,0.03512894992773919
Gov Exp,8,Imports,0.003248788961624425,0.005335442632571886,0.012508282619501553,0.020623646140981583,0.023321454565927505
Gov Exp,8,N.O. GDP,-0.0017157346428473557,7.86565925722545e-4,0.00785131037871626,0.015097266738387781,0.01715781270467311
Gov Exp,8,CPI,-0.0065832838534050486,-0.003477536460122376,0.005097290894302,0.012199023140037558,0.014220943010926499
Gov Exp,8,Credit,-0.005043219536832415,-0.003588954928940747,0.001688287436863678,0.007369608892068997,0.009428578668563864
Gov Exp,9,Gov Exp,0.004151787877044031,0.006098665758725289,0.015309246268257089,0.03073881163373699,0.036639767256810764
Gov Exp,9,Imports,0.004430897940258529,0.006623467097007729,0.0142093280450549,0.02313377291697523,0.026376647845792068
Gov Exp,9,N.O. GDP,-0.0028819918139736996,-1.8670821584468e-4,0.0074776353950624696,0.015137690152297864,0.01748333162478864
Gov Exp,9,CPI,-0.007492724033318768,-0.003933319391708498,0.005548429593802185,0.013292915621980102,0.015369817418066083
Gov Exp,9,Credit,-0.005190060802843593,-0.0033502045436821465,0.0019680107158573205,0.008144390427874543,0.010204712287301465
Gov Exp,10,Gov Exp,0.002572862932663678,0.004842038012695929,0.014638924387947613,0.03172157738710186,0.03829552066777148
Gov Exp,10,Imports,0.005332310819155316,0.007653934949750233,0.015544885850421434,0.025479895821293928,0.029097890098181936
Gov Exp,10,N.O. GDP,-0.004446704862888829,-0.0015844329604524018,0.006536651564391577,0.014565699054497262,0.017329057198775238
Gov Exp,10,CPI,-0.008985663267177962,-0.004669504092506402,0.005805959634521895,0.01415092618982608,0.01654784447913808
Gov Exp,10,Credit,-0.005253006812577566,-0.003469613059719291,0.0021075883127724673,0.008615055937897999,0.010723692421939223
Gov Exp,11,Gov Exp,9.794052417223217e-4,0.0037707159480941913,0.014043463718830924,0.032510024723590734,0.04026504193120209
Gov Exp,11,Imports,0.005870791549265328,0.008184204031506968,0.016524124265772492,0.027307768967050818,0.031255503759299495
Gov Exp,11,N.O. GDP,-0.006540327658642031,-0.0034648889677121337,0.005226619790938798,0.013720014091244338,0.016419105568788006
Gov Exp,11,CPI,-0.010416786831248205,-0.0055974922843431574,0.005928687491910233,0.014670417079949332,0.017334405179978498
Gov Exp,11,Credit,-0.005548942650851215,-0.0037047736132068496,0.0019611614337503086,0.008693986847029819,0.01110827763171221
Gov Exp,12,Gov Exp,-5.495243452642734e-4,0.002337320217741044,0.013312138308912605,0.03337734863759585,0.04258043598655857
Gov Exp,12,Imports,0.005790431383390566,0.008319985762194362,0.016987354404884088,0.028661535565798372,0.03296542431702548
Gov Exp,12,N.O. GDP,-0.00900562737165019,-0.005379769705064351,0.0037452361729901906,0.012540912069658877,0.015371509584355307
Gov Exp,12,CPI,-0.011954337100218166,-0.006806008247426801,0.005798812740131847,0.015003921574633663,0.01787123189868221
Gov Exp,12,Credit,-0.005946642928088086,-0.004106697189684639,0.0018242076696215453,0.00868391230608886,0.011261786897863174
Gov Exp,13,Gov Exp,-0.002204710049525381,8.633660598602268e-4,0.012509585066689576,0.033776442706959064,0.04454907594687444
Gov Exp,13,Imports,0.005519552877482575,0.008100310474715636,0.017160265042087328,0.02945382034964873,0.03426712783733294
Gov Exp,13,N.O. GDP,-0.011108593295582317,-0.0074403253315053035,0.0020133271594735087,0.011015578527513212,0.014117222166744119
Gov Exp,13,CPI,-0.013769861747455776,-0.007919410117089187,0.0056641350980457614,0.015249346641178654,0.018245582752439045
Gov Exp,13,Credit,-0.006367606987839256,-0.004459878118309649,0.0016336502240735114,0.00866854864492898,0.011412707531918139
Gov Exp,14,Gov Exp,-0.003913410507481597,-7.105377769751041e-4,0.01160885703670076,0.03407345912332138,0.04548595728748422
Gov Exp,14,Imports,0.004914616407421919,0.007598940423353354,0.016946503155555577,0.02990619411448328,0.03543033200264449
Gov Exp,14,N.O. GDP,-0.013478247341112942,-0.009489943947721489,5.003437351053716e-4,0.009567582777620954,0.012897833767293171
Gov Exp,14,CPI,-0.015787979828282277,-0.009039815703990707,0.0054119111788897955,0.015484474947043136,0.0188122073731304
Gov Exp,14,Credit,-0.006744661415460868,-0.004654031910669322,0.0015175230094309259,0.008753694485715571,0.011565433952379772
Gov Exp,15,Gov Exp,-0.005534173461134023,-0.0022549890360497892,0.01045622525453983,0.03394425025115166,0.04730073633471374
Gov Exp,15,Imports,0.003962571573849886,0.006800761115052599,0.016165434059016315,0.029717213349265893,0.0358650513659346
Gov Exp,15,N.O. GDP,-0.015376005485964737,-0.011443982989488389,-0.0010536038840167174,0.008195449622251029,0.011850802588387393
Gov Exp,15,CPI,-0.017831155285011002,-0.010123816173418414,0.005257078527889017,0.01568252985882628,0.0190772808834831
Gov Exp,15,Credit,-0.00710939010400258,-0.004730481915326308,0.0015197613153906493,0.008859989704667231,0.011831648314671666
