year,gov_expenditure_real,gdp_non_oil_real,imports_real,cpi,private_credit
2002,1013.472177,903.89151400000003,1232.8568339999999,48.733333330000001,6.3916482400000003
2003,749.33976570000004,884.16618559999995,878.8063449,52.225000000000001,26.362720190000001
2004,542.36496139999997,887.70285039999999,620.6174244,53.9,88.382384619999996
2005,389.90492710000001,914.19714539999995,414.52694120000001,54.524999999999999,105.90970830000001
2006,542.06489390000002,876.56794260000004,491.17716999999999,56.658333329999998,111.4599221
2007,766.09638370000005,966.5509591,742.88545220000003,62.483333330000001,100.50214680000001
2008,873.57278059999999,1076.6875889999999,838.40764460000003,68.141666670000006,102.44905989999999
2009,1046.584687,1185.9385560000001,1195.7841940000001,68.616666670000001,103.5407068
2010,1068.7529999999999,1296.6043890000001,1173.8241619999999,73.266666670000006,109.6577935
2011,981.79527670000004,1373.8632749999999,1326.5644540000001,83.125,132.7828074
2012,960.47146269999996,1440.6415669999999,1203.4114099999999,92.958333330000002,160.05980099999999
2013,808.8518871,1485.364409,877.64880159999996,97.466666669999995,181.7720319
2014,904.47774709999999,1551.7973199999999,979.17842169999994,97.983333329999994,191.76160530000001
2015,937.36842300000001,1590.282481,906.88421059999996,98.533333330000005,211.86255410000001
2016,926.58773159999998,1638.1489280000001,980.56034929999998,96.866666670000001,207.9540049
2017,872.75487290000001,1586.016228,894.25747950000004,97.433333329999996,259.61545719999998
2018,870.27524500000004,1578.6174249999999,920.34392179999998,100,249.85601389999999
2019,897.85795310000003,1620.726566,860.79589410000006,101.375,263.63405840000001
2020,941.58162540000001,1483.097626,800.62287779999997,102.0333333,290.32400130000002
2021,968.7597356,1527.1882820000001,729.89673210000001,105.7166667,303.63119979999999
2022,965.8172697,1587.564918,897.01064169999995,112.5666667,408.24900000000002
2023,957.88089070000001,1625.268669,940.6296595,119.675,492.5510251
