Response,Horizon,Impulse,10%,16%,50%,84%,90%
N.O. GDP,1,N.O. GDP,0.02282399019990228,0.023368111472369744,0.02522318582398305,0.027148829248186682,0.02782215774138698
N.O. GDP,1,Gov Exp,0,0,0,0,0
N.O. GDP,1,Imports,0,0,0,0,0
N.O. GDP,1,CPI,0,0,0,0,0
N.O. GDP,1,Credit,0,0,0,0,0
N.O. GDP,2,N.O. GDP,0.045730567481741355,0.04683236235790551,0.05179118655885709,0.057314701462320206,0.0591627281759507
N.O. GDP,2,Gov Exp,-0.003018263675752685,-0.002338393897433532,1.8288400257979577e-5,0.0024410661202817407,0.00313466876547087
N.O. GDP,2,Imports,-0.001251338514989579,-6.607064611128051e-4,0.0012939187620146135,0.0032440505038502316,0.0038391157342835608
N.O. GDP,2,CPI,-0.003122155348777282,-0.0023630079679848163,1.57626788944123e-4,0.0026788552722520937,0.003426465836330568
N.O. GDP,2,Credit,-0.003835515108266495,-0.0033094448579090033,-0.0014655750520339603,3.085433406334638e-4,8.657797502308218e-4
N.O. GDP,3,N.O. GDP,0.06480234899171138,0.06712439681787155,0.07609698334391293,0.08743480465097095,0.09098497989956494
N.O. GDP,3,Gov Exp,-0.006140207554262762,-0.004421159319376675,0.0014621301129142316,0.0075097024102603665,0.009318545797147394
N.O. GDP,3,Imports,-0.002702110900046748,-0.0012310135553727682,0.004099706810262095,0.009313026275595845,0.010922103521628099
N.O. GDP,3,CPI,-0.00734229399521288,-0.00559173254304642,6.86649927487744e-4,0.006990254882679438,0.008819508397238687
N.O. GDP,3,Credit,-0.009687051477759483,-0.008119446301858312,-0.0033292911729383996,0.0016440333473309776,0.0030788750660065175
N.O. GDP,4,N.O. GDP,0.08049643024900827,0.08390899095641546,0.0975574439957813,0.11582021478895187,0.12172077584341877
N.O. GDP,4,Gov Exp,-0.008206107289400254,-0.005147978423723483,0.004985310941989755,0.015346472179348505,0.0183199983013354
N.O. GDP,4,Imports,-0.003829103916872318,-0.0011648029233927706,0.008593182690070237,0.0179000477504775,0.021037611896338113
N.O. GDP,4,CPI,-0.011679194083318288,-0.008794288544660203,0.0019151812796043323,0.012414708716386932,0.01575341080572376
