Response,Horizon,Impulse,10%,16%,50%,84%,90%
Gov Exp,1,Gov Exp,0.028292553766070913,0.028832021053248783,0.03101887488967551,0.03347045522347147,0.034273869325624144
Gov Exp,1,Imports,0,0,0,0,0
Gov Exp,1,N.O. GDP,0,0,0,0,0
Gov Exp,1,CPI,0,0,0,0,0
Gov Exp,1,Credit,0,0,0,0,0
Gov Exp,2,Gov Exp,0.04431391448383417,0.04544649790492455,0.04967951336734132,0.054638429196025545,0.05621596017248019
Gov Exp,2,Imports,0.0010270590842899317,0.0019958425731369353,0.005125367631059616,0.008470962840029057,0.00938193939697105
Gov Exp,2,N.O. GDP,-0.004525892350833809,-0.0034633415707681623,2.4686087248270577e-4,0.003993791354717933,0.0050139674143190064
Gov Exp,2,CPI,-0.0024671215047550195,-0.0015067089478377946,0.0019179841983599439,0.005334953471187915,0.0062643837012156265
Gov Exp,2,Credit,-0.005856024607735649,-0.005222783124477575,-0.0029833998911630213,-6.739835544533122e-4,4.7430076786453e-5
Gov Exp,3,Gov Exp,0.05194413089213475,0.053879613506238516,0.060832807458532215,0.06928312803759856,0.07172457776584018
Gov Exp,3,Imports,4.6184251217395626e-4,0.0026551586802426824,0.009644530304755664,0.01663395719488263,0.018853342116486434
Gov Exp,3,N.O. GDP,-0.007972499407398368,-0.005763712196932384,0.0020672037695755713,0.009712252290510107,0.012012354380148438
Gov Exp,3,CPI,-0.005239632059673174,-0.003197506594722924,0.003849473644101528,0.010984934538679915,0.012990822886352435
Gov Exp,3,Credit,-0.013285003366998189,-0.011890585089914122,-0.006750370387311131,-0.0016097359727687004,1.0930594221604111e-4
Gov Exp,4,Gov Exp,0.054522967297271394,0.056930849675722775,0.06650353142779042,0.07818755811535427,0.08207337019800563
Gov Exp,4,Imports,-0.0025489134661749136,6.964669348481741e-4,0.011768564364272583,0.022645215441341435,0.025500379929567423
Gov Exp,4,N.O. GDP,-0.010074871018710189,-0.006636542680768723,0.004853370744471588,0.016251334688317152,0.01954123846661558
Gov Exp,4,CPI,-0.008757266014270853,-0.005474986240291031,0.004828306846082202,0.015313014261874118,0.018476471779126976
Gov Exp,4,Credit,-0.020760871904956034,-0.01827366418176605,-0.01041744934955505,-0.0023140658775595378,2.1849306346449478e-4
Gov Exp,5,Gov Exp,0.05330407888204192,0.05611491830613254,0.06821327049953341,0.08284684804430208,0.08849810422070548
Gov Exp,5,Imports,-0.0079678217873628,-0.0034073153080248415,0.011411059880892216,0.026054380562995628,0.029917095606500584
Gov Exp,5,N.O. GDP,-0.011264060893456653,-0.006887135019339494,0.00802683385018763,0.02257867869993502,0.027154607202728852
Gov Exp,5,CPI,-0.012883404442886551,-0.008833538745615306,0.00491203957630593,0.018302027163594945,0.021832789800601254
Gov Exp,5,Credit,-0.026854006568945033,-0.023767580417653124,-0.013451981450007762,-0.002754676399651582,7.700543062672705e-4
Gov Exp,6,Gov Exp,0.04899485663895046,0.05246869191556308,0.06660907757751151,0.08435525126178815,0.09143764239503292
Gov Exp,6,Imports,-0.01495058120267129,-0.00972217515065859,0.008657291768703152,0.026960853488903612,0.03278118265834399
Gov Exp,6,N.O. GDP,-0.012300311885020655,-0.007077456310289817,0.010686174943444163,0.028515422190252424,0.03375320203389094
Gov Exp,6,CPI,-0.017856195583876727,-0.013030645239184555,0.0037072379655181454,0.019890763921038952,0.024097342635562864
Gov Exp,6,Credit,-0.03138876577061613,-0.027600644763141877,-0.015317310601026767,-0.002655491023313048,0.0015716631137374358
Gov Exp,7,Gov Exp,0.04243722144739222,0.046690373784963116,0.06249332931734176,0.08299188827930724,0.09083043911353576
Gov Exp,7,Imports,-0.02314741096776765,-0.01661815387548555,0.004739436570874373,0.026045752854342567,0.032766774884354664
