reporterCd,reporterLabel,partnerCd,partnerLabel,productCd,productLabel,200201 (USD Thousand),200202 (USD Thousand),200203 (USD Thousand),200204 (USD Thousand),200301 (USD Thousand),200302 (USD Thousand),200303 (USD Thousand),200304 (USD Thousand),200401 (USD Thousand),200402 (USD Thousand),200403 (USD Thousand),200404 (USD Thousand),200501 (USD Thousand),200502 (USD Thousand),200503 (USD Thousand),200504 (USD Thousand),200601 (USD Thousand),200602 (USD Thousand),200603 (USD Thousand),200604 (USD Thousand),200701 (USD Thousand),200702 (USD Thousand),200703 (USD Thousand),200704 (USD Thousand),200801 (USD Thousand),200802 (USD Thousand),200803 (USD Thousand),200804 (USD Thousand),200901 (USD Thousand),200902 (USD Thousand),200903 (USD Thousand),200904 (USD Thousand),201001 (USD Thousand),201002 (USD Thousand),201003 (USD Thousand),201004 (USD Thousand),201101 (USD Thousand),201102 (USD Thousand),201103 (USD Thousand),201104 (USD Thousand),201201 (USD Thousand),201202 (USD Thousand),201203 (USD Thousand),201204 (USD Thousand),201301 (USD Thousand),201302 (USD Thousand),201303 (USD Thousand),201304 (USD Thousand),201401 (USD Thousand),201402 (USD Thousand),201403 (USD Thousand),201404 (USD Thousand),201501 (USD Thousand),201502 (USD Thousand),201503 (USD Thousand),201504 (USD Thousand),201601 (USD Thousand),201602 (USD Thousand),201603 (USD Thousand),201604 (USD Thousand),201701 (USD Thousand),201702 (USD Thousand),201703 (USD Thousand),201704 (USD Thousand),201801 (USD Thousand),201802 (USD Thousand),201803 (USD Thousand),201804 (USD Thousand),201901 (USD Thousand),201902 (USD Thousand),201903 (USD Thousand),201904 (USD Thousand),202001 (USD Thousand),202002 (USD Thousand),202003 (USD Thousand),202004 (USD Thousand),202101 (USD Thousand),202102 (USD Thousand),202103 (USD Thousand),202104 (USD Thousand),202201 (USD Thousand),202202 (USD Thousand),202203 (USD Thousand),202204 (USD Thousand),202301 (USD Thousand),202302 (USD Thousand),202303 (USD Thousand),202304 (USD Thousand),202401 (USD Thousand),202402 (USD Thousand),202403 (USD Thousand),202404 (USD Thousand),202501 (USD Thousand),202502 (USD Thousand),202503 (USD Thousand),202504 (USD Thousand),202601 (USD Thousand),202602 (USD Thousand)
439956,timor leste import,626,Timor-Leste,TOTAL,Todos los productos,,2,,,19,,,0,6361,5486,6131,5010,7025,6141,5882,6604,14314,16968,21547,17067,14128,17251,17876,13180,19107,26264,37883,54669,50935,41382,57478,84034,56100,63302,62833,627633,106597,107490,109821,128912,101808,102215,119767,139382,94060,102803,114899,119072,90595,123768,140148,142694,173235,98041,108648,148374,99508,114787,133369,134238,105829,114109,112923,128890,77842,78608,108141,131428,104299,100922,140684,146644,130443,112154,176481,170683,146507,163797,191453,260341,203321,225642,246012,202817,228940,206259,230820,222679,188847,215672,244118,239538,214433,236029,254864,259900,236893,297194
439956,timor leste import,626,Timor-Leste,2710,"Aceites de petróleo o de mineral bituminoso (exc. aceites crudos); preparaciones con un contenido de aceites de petróleo o de mineral bituminoso >= 70% en peso, en las que estos aceites constituyan el elemento base, n.c.o.p.; desechos de aceites que contengan principalmente aceites de petróleo o de mineral bituminoso",,,,,,,,,1291,1354,996,1213,915,805,511,181,2538,2149,2648,2196,970,662,1150,2342,1186,1517,3114,6676,6338,419,2651,4307,4651,5411,4227,9187,10073,5074,4435,5544,6499,16390,12299,18624,7189,14375,7324,8969,6283,30243,35180,26986,6778,9962,10813,12158,7793,2203,3296,2970,2375,4694,3269,6803,1255,912,3513,3092,21868,10431,13462,24152,13093,18313,22218,21785,24906,37773,25695,25064,40273,32088,35415,20649,55205,20589,43618,18917,19270,29563,36087,20705,25931,24379,13019,38751,35297,71818
439956,timor leste import,626,Timor-Leste,1006,Arroz,,,,,,,,,1,,,,,,,,1353,,226,,,766,,,100,,,122,,101,,,,,,38,,2304,4010,4450,2659,271,,98,,100,1,290,,29,1,56,3,7,,57,13,18,2,2,,6,5,1,611,761,2473,422,270,,914,2357,1827,6351,4613,11191,11433,8747,4161,8357,11756,7313,12424,6344,6829,10356,15996,16740,14948,12608,12151,13971,8169,16128,11272,9494,11214,15298
439956,timor leste import,626,Timor-Leste,8704,"Vehículos automóviles para transporte de mercancías, incl. los chasis con motor y las cabinas",,,,,,,,,59,23,173,122,35,122,44,66,45,265,2525,431,194,92,195,128,358,366,402,1096,1890,1111,2979,1618,2455,2558,1828,1803,4209,2586,2467,1972,1786,1490,1805,2426,2852,2448,3558,3282,4226,3148,2144,3015,3799,2099,4261,4185,3783,4092,5756,3243,3396,2757,1896,4627,1800,1964,1406,2492,2475,2907,3163,5101,2638,1320,3159,3956,3344,3477,4097,4822,5738,4859,4974,4289,5867,7774,7610,7515,9248,6936,7590,8476,8781,9675,9893,10406,8448,10321
439956,timor leste import,626,Timor-Leste,2523,"Cementos hidráulicos, incl. los cementos sin pulverizar ""clinker"", incl. coloreados",,,,,,,,,,,14,,,,,,86,91,10,202,1,7,,,202,664,967,1622,824,1068,3503,2852,2050,1686,1503,3539,1976,2791,2322,3502,3380,1643,3219,4406,3491,4033,3330,3645,2206,1981,6460,2996,4439,3408,3449,4271,4633,4076,4875,4810,5243,5935,4304,6123,3190,4057,2639,4541,3100,3239,4295,4699,3376,2186,4466,4901,2959,3437,6033,4398,5396,2365,6468,5007,3632,3776,5760,6524,4424,5822,7957,6279,3862,6472,9039,7550,4507,6514
439956,timor leste import,626,Timor-Leste,8517,"Teléfonos, incl. teléfonos inteligentes y otros teléfonos para redes celulares o para otras redes inalámbricas; los demás aparatos de transmisión o recepción de voz, imágenes u otros datos, incl. aparatos para la comunicación en una red alámbrica o inalámbrica, sus partes (exc. ​​aparatos de transmisión o recepción de las partidas 8443, 8525, 8527 u 8528)",,,,,,,,,,1,3,2,78,13,,3,5,18,18,6,26,31,387,36,22,0,345,284,954,285,1981,1893,697,2169,717,1382,1315,1479,973,319,295,436,282,7561,653,1646,1546,1848,1235,2334,916,871,2787,561,628,721,786,5850,4625,3875,4577,3190,1811,3286,625,730,1564,2986,1911,2680,2440,3151,1578,2938,3410,2318,2923,3167,3070,2281,2657,3634,3726,3083,2967,5195,2249,5745,1896,3355,2184,3053,6244,4302,3400,4095,3011,1760
439956,timor leste import,626,Timor-Leste,8711,"Motocicletas, incl. los ciclomotores, y velocípedos equipados con motor auxiliar, incl. con sidecar o sin él; sidecares",,,,,,,,,9,11,,14,,,17,,7,6,1,201,202,,135,88,400,1078,1553,2245,1350,1105,1483,2329,2199,1312,1211,1934,2724,1613,1396,1881,1725,2384,2405,2569,2379,2406,1689,2992,2305,2350,2381,3104,2713,2784,1836,3376,3333,3747,2488,3507,4026,3874,3501,3890,2494,1384,3062,3489,3489,3307,3839,3435,3307,883,5444,4306,3066,2071,3149,3663,3335,2386,2833,3401,6196,4752,5366,5438,7019,7963,5338,9607,7929,6586,8461,8597,10269,8362
439956,timor leste import,626,Timor-Leste,0207,"Carne y despojos comestibles de gallos, gallinas, patos, gansos, pavos ""gallipavos"" y pintadas, de especies domésticas, frescos, refrigerados o congelados",,,,,,,,,9,12,12,16,12,5,3,3,1,6,2,,1,4,,1,,,,1,,1,1,1,,,,4,2741,2003,3285,2002,1411,1631,2726,1917,2181,2068,3020,1832,1525,637,1374,1053,1067,694,585,1029,1102,777,751,710,783,1039,1848,840,661,861,1688,1431,1159,1497,2182,1743,1433,1297,2602,2577,3206,1710,4085,3651,2859,4650,6339,1971,3424,5846,4444,5110,809,2699,5112,4196,5286,4244,4742,5739,5596,4354
439956,timor leste import,626,Timor-Leste,8703,"Automóviles de turismo y demás vehículos automóviles concebidos principalmente para el transporte de <10 personas, incl. camionetas y automóviles de carreras (exc. vehículos automóviles de la partida 8702)",,,,,,,,,470,47,234,221,101,46,235,371,161,181,309,444,226,106,394,282,374,1344,598,2068,1844,1409,1447,3856,2706,1207,1856,2674,3359,10262,4121,2258,2131,2579,2070,4780,1818,1319,2117,2952,2637,4140,3460,5517,4706,4415,3044,4632,4190,4016,2403,3068,3881,2927,3432,3392,2483,1745,3617,2544,2054,2831,3575,4189,2857,1137,2804,3170,1983,1888,2756,4920,4330,3567,3134,3358,5014,5717,4693,5098,4687,3378,3671,4639,4401,5241,4895,4553,3326,6894
439956,timor leste import,626,Timor-Leste,1511,"Aceite de palma y sus fracciones, incl. refinados, sin modificar químicamente",,,,,,,,,,,,,,,,,105,129,257,181,,,,,270,480,747,777,1140,1898,1093,1490,2020,1712,1615,1684,1339,3314,2311,10273,1655,2427,2806,1969,2575,2294,2847,2293,2373,2734,3756,2483,2395,2838,2498,2857,1964,1836,2730,2844,2605,3320,3435,4115,2006,2277,3797,2291,2930,2846,3334,2830,2749,2530,3412,4693,4103,2511,2792,4798,1995,3590,6245,6596,5144,4037,3697,5075,3654,4062,5834,4489,5893,6582,7611,6047,4576,6631
